mean_fit_time	mean_score_time	mean_test_accuracy	mean_test_precision	mean_test_recall	param_n_neighbors	param_p	param_weights	params	rank_test_accuracy	rank_test_precision	rank_test_recall	split0_test_accuracy	split0_test_precision	split0_test_recall	split1_test_accuracy	split1_test_precision	split1_test_recall	split2_test_accuracy	split2_test_precision	split2_test_recall	split3_test_accuracy	split3_test_precision	split3_test_recall	split4_test_accuracy	split4_test_precision	split4_test_recall	std_fit_time	std_score_time	std_test_accuracy	std_test_precision	std_test_recall	model
3.271930980682373	476.3269253253937	0.5328572574821472	0.5328572574821472	0.5328572574821472	10	2	uniform	{'weights': 'uniform', 'p': 2, 'n_neighbors': 10}	1	1	1	0.32746196957566054	0.32746196957566054	0.32746196957566054	0.5801282051282052	0.5801282051282052	0.5801282051282052	0.596470116325712	0.596470116325712	0.596470116325712	0.5693049417436722	0.5693049417436722	0.5693049417436722	0.5914756735022115	0.5914756735022115	0.5914756735022115	0.04574515417400365	32.60478177448204	0.10326506564309401	0.10326506564309401	0.10326506564309401	KNeighbors
3.2651440620422365	474.40947661399844	0.5281232448046217	0.5281232448046217	0.5281232448046217	10	2	distance	{'weights': 'distance', 'p': 2, 'n_neighbors': 10}	2	2	2	0.3206565252201761	0.3206565252201761	0.3206565252201761	0.5761217948717948	0.5761217948717948	0.5761217948717948	0.5984757320497393	0.5984757320497393	0.5984757320497393	0.5576536761751707	0.5576536761751707	0.5576536761751707	0.5882589465219139	0.5882589465219139	0.5882589465219139	0.04204234919552553	31.231860261564172	0.1047586965020563	0.1047586965020563	0.1047586965020563	KNeighbors
3.2812148571014403	435.4271167755127	0.3582604509347669	0.3582604509347669	0.3582604509347669	25	1	uniform	{'weights': 'uniform', 'p': 1, 'n_neighbors': 25}	21	21	21	0.18855084067253802	0.18855084067253802	0.18855084067253802	0.4310897435897436	0.4310897435897436	0.4310897435897436	0.4179703168872844	0.4179703168872844	0.4179703168872844	0.3455202892728003	0.3455202892728003	0.3455202892728003	0.4085243264977885	0.4085243264977885	0.4085243264977885	0.05469078354517056	27.226799635380726	0.08991527894718163	0.08991527894718163	0.08991527894718163	KNeighbors
3.302802848815918	435.4338931083679	0.3603466260129985	0.3603466260129985	0.3603466260129985	25	1	distance	{'weights': 'distance', 'p': 1, 'n_neighbors': 25}	20	20	20	0.18694955964771817	0.18694955964771817	0.18694955964771817	0.42748397435897434	0.42748397435897434	0.42748397435897434	0.4099478539911753	0.4099478539911753	0.4099478539911753	0.37163519485737245	0.37163519485737245	0.37163519485737245	0.40611178126256536	0.40611178126256536	0.40611178126256536	0.02437432435898785	27.733438826683937	0.08868248903690577	0.08868248903690577	0.08868248903690577	KNeighbors
3.26475248336792	477.98040809631345	0.5097488566155821	0.5097488566155821	0.5097488566155821	25	2	uniform	{'weights': 'uniform', 'p': 2, 'n_neighbors': 25}	7	7	7	0.3134507606084868	0.3134507606084868	0.3134507606084868	0.5693108974358975	0.5693108974358975	0.5693108974358975	0.564781387886081	0.564781387886081	0.564781387886081	0.5407794294897549	0.5407794294897549	0.5407794294897549	0.5609167671893848	0.5609167671893848	0.5609167671893848	0.05124868786393314	32.650793585054366	0.09876410363375128	0.09876410363375128	0.09876410363375128	KNeighbors
3.289251947402954	475.00956988334656	0.5112733691727513	0.5112733691727513	0.5112733691727513	25	2	distance	{'weights': 'distance', 'p': 2, 'n_neighbors': 25}	6	6	6	0.3130504403522818	0.3130504403522818	0.3130504403522818	0.5677083333333334	0.5677083333333334	0.5677083333333334	0.5675892498997193	0.5675892498997193	0.5675892498997193	0.5411811972679791	0.5411811972679791	0.5411811972679791	0.5673502211499799	0.5673502211499799	0.5673502211499799	0.07727231799762957	31.676346435442166	0.09976915813319417	0.09976915813319417	0.09976915813319417	KNeighbors
3.3397881031036376	437.6394923210144	0.34999598812484956	0.34999598812484956	0.34999598812484956	50	1	uniform	{'weights': 'uniform', 'p': 1, 'n_neighbors': 50}	24	24	24	0.18654923939151322	0.18654923939151322	0.18654923939151322	0.4326923076923077	0.4326923076923077	0.4326923076923077	0.40874448455675894	0.40874448455675894	0.40874448455675894	0.3117717959019687	0.3117717959019687	0.3117717959019687	0.41053478086047446	0.41053478086047446	0.41053478086047446	0.07839681183848683	27.37196523110202	0.09185679555843124	0.09185679555843124	0.09185679555843124	KNeighbors
3.269541597366333	443.30975875854494	0.35111931316697426	0.35111931316697426	0.35111931316697426	50	1	distance	{'weights': 'distance', 'p': 1, 'n_neighbors': 50}	23	23	23	0.18654923939151322	0.18654923939151322	0.18654923939151322	0.4282852564102564	0.4282852564102564	0.4282852564102564	0.4055354993983153	0.4055354993983153	0.4055354993983153	0.33186018481317797	0.33186018481317797	0.33186018481317797	0.4036992360273422	0.4036992360273422	0.4036992360273422	0.07683334174317599	23.25245144747984	0.08853824009892061	0.08853824009892061	0.08853824009892061	KNeighbors
3.360352039337158	485.29986329078673	0.4766107678729038	0.4766107678729038	0.4766107678729038	50	2	uniform	{'weights': 'uniform', 'p': 2, 'n_neighbors': 50}	9	9	9	0.28823058446757405	0.28823058446757405	0.28823058446757405	0.5380608974358975	0.5380608974358975	0.5380608974358975	0.529482551143201	0.529482551143201	0.529482551143201	0.5122539172358377	0.5122539172358377	0.5122539172358377	0.515480498592682	0.515480498592682	0.515480498592682	0.12934781420118385	38.45141288837952	0.09478098678550456	0.09478098678550456	0.09478098678550456	KNeighbors
3.2527225017547607	475.51632604599	0.4783759929390997	0.4783759929390997	0.4783759929390997	50	2	distance	{'weights': 'distance', 'p': 2, 'n_neighbors': 50}	8	8	8	0.2898318654923939	0.2898318654923939	0.2898318654923939	0.5404647435897436	0.5404647435897436	0.5404647435897436	0.5310870437224228	0.5310870437224228	0.5310870437224228	0.5126556850140619	0.5126556850140619	0.5126556850140619	0.5182951347004423	0.5182951347004423	0.5182951347004423	0.04356856796845548	32.75876720594414	0.0948982945282822	0.0948982945282822	0.0948982945282822	KNeighbors
